Symbol	Company	LTP	Share Outstanding	Floated Shares	Market Cap (NPR)	Floated Market Cap	Impact In NEPSE	50D Avg Volume
NRIC	Nepal Reinsurance Company Limited	1593.55	134,221,873	21,475,499.74	213,889,266,356.57	34,222,282,617	4.59 %	208303.12
NTC	Nepal Doorsanchar Comapany Limited	876.08	180,000,000	15,264,000.00	157,694,400,000.00	13,372,485,120	3.39 %	33635.94
NABIL	Nabil Bank Limited	523.82	270,569,972	108,227,988.66	141,729,962,549.70	56,691,985,020	3.04 %	92135.04
CIT	Citizen Investment Trust	1945.54	64,817,123	12,963,424.50	126,104,304,508.65	25,220,860,902	2.71 %	19105.5
HRL	Himalayan Reinsurance Limited	1007.01	108,680,000	31,951,920.00	109,441,846,800.00	32,175,902,959	2.35 %	281798.06
GBIME	Global IME Bank Limited	250.95	381,158,530	186,005,362.56	95,651,733,060.84	46,678,045,734	2.05 %	341897.76
EBL	Everest Bank Limited	715.69	129,446,940	52,775,517.36	92,643,880,359.78	37,770,910,023	1.99 %	120612.02
NIMB	Nepal Investment Mega Bank Limited	216.15	341,285,950	70,134,262.72	73,768,958,092.50	15,159,520,888	1.58 %	205295.88
HIDCL	Hydroelectricity Investment and Development Company Ltd	289.29	245,598,130	49,119,626.00	71,049,083,027.70	14,209,816,606	1.53 %	368257.34
NLIC	Nepal Life Insurance Co. Ltd.	784.15	90,287,632	44,240,939.64	70,799,046,574.71	34,691,532,822	1.52 %	77941.6
SCB	Standard Chartered Bank Limited	637.46	100,423,683	27,596,428.13	64,016,081,056.04	17,591,619,074	1.37 %	29029.44
NIFRA	Nepal Infrastructure Bank Limited	283.19	216,000,000	86,400,000.00	61,169,040,000.00	24,467,616,000	1.31 %	371719.26
SHL	Soaltee Hotel Limited	560.85	102,183,487	31,676,880.93	57,309,608,609.36	17,765,978,669	1.23 %	190530.56
LSL	Laxmi Sunrise Bank Limited	233.78	243,465,124	119,176,178.16	56,917,276,672.36	27,861,006,931	1.22 %	201814.34
NICA	NIC Asia Bank Ltd.	365.66	149,175,669	73,096,077.92	54,547,575,207.12	26,728,311,851	1.17 %	206541.28
KBL	Kumari Bank Limited	204.94	262,258,634	128,506,730.66	53,747,284,451.96	26,336,169,381	1.15 %	480323.2
SBL	Siddhartha Bank Limited	369.19	140,899,802	69,040,902.93	52,018,797,860.75	25,489,210,952	1.12 %	199568
PRVU	Prabhu Bank Limited	218.42	235,424,900	115,358,201.00	51,421,506,658.00	25,196,538,262	1.10 %	311690.88
SANIMA	Sanima Bank Limited	367.83	135,815,254	66,549,474.51	49,956,924,915.60	24,478,893,209	1.07 %	264422.78
PCBL	Prime Commercial Bank Ltd.	250.74	194,025,757	95,072,621.01	48,650,018,350.70	23,838,508,992	1.04 %	125633.62
LICN	Life Insurance Co. Nepal	867.41	55,000,000	17,962,999.91	47,707,549,749.63	15,581,285,748	1.02 %	25545.56
HBL	Himalayan Bank Limited	216.11	216,566,156	58,494,518.82	46,802,112,037.99	12,641,250,461	1.01 %	122068.7
SARBTM	Sarbottam Cement Limited	931.97	49,755,000	5,989,108.86	46,370,167,350.00	5,581,669,784	1.00 %	72188.3
NMB	NMB Bank Limited	252.33	183,667,060	89,996,859.40	46,344,709,249.80	22,708,907,532	1.00 %	97409.38
ADBL	Agricultural Development Bank Limited	332.45	138,552,244	67,890,599.68	46,061,693,596.02	22,570,229,862	0.99 %	88790.88
CHCL	Chilime Hydropower Company Limited	523.31	87,823,969	87,823,969.20	45,959,161,322.05	45,959,161,322	0.99 %	223793.3
UNL	Unilever Nepal Limited	47900	921,000	138,150.00	44,115,900,000.00	6,617,385,000	0.95 %	103.54
SBI	Nepal SBI Bank Limited	394.34	108,991,581	32,697,474.20	42,979,739,919.99	12,893,921,976	0.92 %	67795.68
UPPER	Upper Tamakoshi Hydropower Ltd	196.19	211,800,000	211,800,000.00	41,553,042,000.00	41,553,042,000	0.89 %	259007.96
HDL	Himalayan Distillery Limited	1345.83	30,734,018	12,908,287.69	41,362,763,848.15	17,372,360,816	0.89 %	113171.56
RBCL	Rastriya Beema Company Limited	15400	2,666,391	327,166.13	41,062,415,240.00	5,038,358,350	0.88 %	435.52
NBL	Nepal Bank Limited	266.21	146,940,229	72,000,712.35	39,116,958,436.59	19,167,309,634	0.84 %	194561.56
SKBBL	Sana Kisan Bikas Bank Ltd	878.95	43,126,215	12,937,864.52	37,905,786,744.88	11,371,736,023	0.81 %	52726.26
HLI	Himalayan Life Insurance Limited	406.23	91,432,373	44,801,862.79	37,142,572,900.04	18,199,860,721	0.80 %	117831.68
HATHY	Hathway Investment Nepal Limited	1229.29	28,314,000	3,474,900.00	34,806,117,060.00	4,271,659,821	0.75 %	24514.9
SHIVM	SHIVAM CEMENTS LTD	632.66	54,568,085	54,568,085.00	34,523,044,656.10	34,523,044,656	0.74 %	387067.26
NLICL	National Life Insurance Co. Ltd.	615.55	54,727,397	19,154,589.02	33,687,449,351.11	11,790,607,273	0.72 %	32181.02
CBBL	Chhimek Laghubitta Bikas Bank Limited	1045.74	32,153,459	15,755,194.75	33,624,157,880.02	16,475,837,361	0.72 %	64660.54
BNL	Bottlers Nepal (Balaju) Limited	16711	1,948,887	179,687.38	32,567,850,657.00	3,002,755,831	0.70 %	45.06
MNBBL	Muktinath Bikas Bank Ltd.	444.48	70,472,374	34,531,463.48	31,323,560,990.98	15,348,544,886	0.67 %	154131
